datetime_utc,hum,tempm,conds
20170101-00:00,100,10,Patches of Fog
20170101-01:00,100,9,Fog
20170101-01:30,100,9,Fog
20170101-02:00,100,9,Fog
20170101-03:00,100,9,Patches of Fog
20170101-03:30,100,10,Fog
20170101-04:00,100,13,Fog
20170101-04:30,100,13,Fog
20170101-05:00,82,17,Fog
20170101-05:30,88,17,Fog
20170101-06:00,66,20,Smoke
20170101-06:30,73,20,Smoke
20170101-07:00,68,21,Smoke
20170101-07:30,69,22,Smoke
20170101-08:30,65,23,Smoke
20170101-09:00,62,22,Haze
20170101-09:30,69,23,Haze
20170101-10:30,69,23,Haze
20170101-12:00,73,20,Mist
20170101-13:00,100,17,Mist
20170101-15:00,94,14,Mist
20170101-18:00,98,13,Mist
20170101-21:00,99,12,Mist
20170102-00:00,100,11,Patches of Fog
20170102-02:00,100,11,Fog
20170102-03:00,99,11,Partial Fog
20170102-04:00,94,14,Fog
20170102-06:00,60,19,Smoke
20170102-06:30,64,21,Smoke
20170102-07:00,64,22,Smoke
20170102-07:30,61,23,Haze
20170102-08:00,57,23,Haze
20170102-09:00,49,24,Haze
20170102-10:00,61,24,Haze
20170102-10:30,61,23,Haze
20170102-11:00,69,23,Haze
20170102-12:00,76,21,Mist
20170102-12:30,83,20,Partly Cloudy
20170102-15:00,93,17,Mist
20170102-18:00,99,14,Light Fog
20170102-21:00,100,12,Partial Fog
20170103-00:00,100,11,Partial Fog
20170103-03:00,98,11,Heavy Fog
20170103-03:30,100,12,Fog
20170103-04:00,100,12,Fog
20170103-05:00,94,14,Fog
20170103-05:30,73,18,Smoke
20170103-06:00,60,19,Smoke
20170103-07:00,60,22,Smoke
20170103-09:00,53,24,Smoke
20170103-10:00,65,23,Smoke
20170103-10:30,69,22,Smoke
20170103-11:00,69,22,Smoke
20170103-11:30,78,21,Scattered Clouds
20170103-12:00,72,20,Mist
20170103-13:00,88,17,Partly Cloudy
20170103-15:00,99,15,Mist
20170103-18:00,97,13,Patches of Fog
20170103-21:00,99,12,Partial Fog
20170104-00:00,100,10,Partial Fog
20170104-02:00,100,10,Fog
20170104-02:30,94,10,Fog
20170104-03:00,95,10,Partial Fog
20170104-04:00,88,14,Fog
20170104-04:30,73,19,Mist
20170104-06:00,46,23,Smoke
20170104-06:30,53,23,Smoke
20170104-07:00,50,24,Smoke
20170104-08:00,50,25,Smoke
20170104-09:00,41,25,Smoke
20170104-09:30,50,25,Haze
20170104-10:30,50,25,Haze
20170104-11:00,53,24,Haze
20170104-11:30,53,24,Haze
20170104-12:00,58,22,Haze
20170104-12:30,73,20,Haze
20170104-15:00,84,16,Mist
20170104-18:00,95,13,Mist
20170104-21:00,95,12,Patches of Fog
20170105-00:00,100,11,Patches of Fog
20170105-02:00,100,11,Fog
20170105-03:00,99,11,Partial Fog
20170105-04:00,94,14,Fog
20170105-04:30,88,15,Mist
20170105-05:00,68,19,Smoke
20170105-05:30,60,20,Smoke
20170105-06:00,60,20,Smoke
20170105-07:00,57,23,Smoke
20170105-08:00,57,25,Smoke
20170105-08:30,57,25,Smoke
20170105-09:00,48,25,Haze
20170105-11:00,53,24,Haze
20170105-11:30,57,23,Haze
20170105-12:00,62,22,Haze
20170105-15:00,91,16,Mist
20170105-18:00,100,14,Mist
20170105-21:00,98,13,Mist
20170106-00:00,98,14,Mist
20170106-02:00,100,14,Fog
20170106-02:30,94,15,Fog
20170106-03:00,92,15,Patches of Fog
20170106-03:30,94,16,Mist
20170106-04:00,88,17,Mist
20170106-05:00,78,19,Mist
20170106-05:30,68,20,Smoke
20170106-06:00,57,21,Smoke
20170106-07:00,64,22,Smoke
20170106-07:30,64,22,Haze
20170106-08:00,65,23,Haze
20170106-08:30,61,24,Haze
20170106-09:00,52,24,Haze
20170106-10:00,65,24,Haze
20170106-11:00,73,23,Haze
20170106-11:30,73,22,Haze
20170106-12:00,76,21,Mist
20170106-13:00,88,18,Partly Cloudy
20170106-15:00,96,18,Mist
20170106-18:00,99,17,Mist
20170106-21:00,100,16,Light Fog
20170107-00:00,100,15,Overcast
20170107-02:00,100,14,Light Rain
20170107-02:30,100,14,Light Rain
20170107-03:00,100,14,Patches of Fog
20170107-03:30,100,14,Overcast
20170107-04:00,100,14,Overcast
20170107-04:30,100,14,Overcast
20170107-05:30,100,14,Overcast
20170107-06:00,94,14,Mist
20170107-06:30,100,14,Overcast
20170107-07:00,94,15,Overcast
20170107-07:30,94,15,Mostly Cloudy
20170107-08:00,94,15,Overcast
20170107-08:30,88,16,Overcast
20170107-09:00,90,16,Mist
20170107-09:30,88,16,Overcast
20170107-10:00,88,16,Overcast
20170107-10:30,94,15,Overcast
20170107-12:00,92,16,Mist
20170107-12:30,94,16,Fog
20170107-13:00,100,15,Fog
20170107-15:00,96,14,Patches of Fog
20170107-18:00,97,14,Patches of Fog
20170107-21:00,97,13,Patches of Fog
20170108-00:00,97,13,Mist
20170108-02:00,94,13,Fog
20170108-02:30,100,13,Fog
20170108-03:00,25,25,Patches of Fog
20170108-03:30,100,13,Fog
20170108-04:30,94,15,Fog
20170108-05:00,94,15,Scattered Clouds
20170108-06:00,72,17,Mist
20170108-06:30,82,17,Scattered Clouds
20170108-07:00,77,17,Scattered Clouds
20170108-07:30,77,17,Smoke
20170108-08:00,77,18,Smoke
20170108-09:00,60,19,Smoke
20170108-10:00,60,20,Smoke
20170108-10:30,60,20,Smoke
20170108-11:30,73,19,Smoke
20170108-12:00,76,18,Mist
20170108-15:00,98,13,Mist
20170108-18:00,98,11,Mist
20170108-21:00,98,10,Mist
20170109-00:00,100,10,Patches of Fog
20170109-02:00,100,10,Fog
20170109-03:00,100,10,Patches of Fog
20170109-03:30,100,10,Fog
20170109-04:00,94,12,Fog
20170109-04:30,94,13,Fog
20170109-05:00,77,15,Partly Cloudy
20170109-05:30,72,16,Partly Cloudy
20170109-06:00,81,16,Patches of Fog
20170109-06:30,72,17,Partly Cloudy
20170109-07:00,77,17,Partly Cloudy
20170109-08:00,60,19,Smoke
20170109-08:30,60,19,Smoke
20170109-09:00,56,19,Smoke
20170109-10:00,64,19,Haze
20170109-11:00,68,18,Haze
20170109-11:30,64,18,Haze
20170109-12:00,66,17,Haze
20170109-15:00,98,12,Mist
20170109-18:00,95,10,Mist
20170109-21:00,99,9,Mist
